Location ID,Suburb,Address,Post Code,GPS Lat,GPS Long,Job ID,Field Technician ID
458,Burleigh Heads,106-108 The Esplanade,4220,-28.0842062,153.4497625,M094368AU1-400-29910,5629
459,Kirra,Musgrave & Douglas Street,4225,-28.1683513,153.5384803,M094380AU1-397-29332,5629
460,Kirra,Musgrave & Douglas Street,4225,-28.1683513,153.5384803,M094380AU1-399-29332,5630
461,Kirra,Musgrave & Douglas Street,4225,-28.1683513,153.5384803,M094381AU1-397-31103,5629
462,Kirra,Musgrave & Douglas Street,4225,-28.1683513,153.5384803,M094381AU1-399-31103,5630
463,Labrador,300 Marine Parade,4215,-27.94506011,153.4101219,M094382AU1-398-31039,29535
464,Labrador,300 Marine Parade,4215,-27.94506011,153.4101219,M094382AU1-399-31039,29535
465,Labrador,300 Marine Parade,4215,-27.94506011,153.4101219,M094382AU1-400-31039,29535
466,Robina,22 Ben Lexcen Place,4226,-28.0669978,153.4165346,M094401AU1-397-29440,5237
467,Robina,22 Ben Lexcen Place,4226,-28.0669978,153.4165346,M094401AU1-398-29440,5237
468,Robina,22 Ben Lexcen Place,4226,-28.0669978,153.4165346,M094401AU1-399-29440,5237
469,Robina,22 Ben Lexcen Place,4226,-28.0669978,153.4165346,M094401AU1-400-29440,5237
470,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,M094403AU1-397-29629,5241
471,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,M094403AU1-398-29629,5241
472,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,M094403AU1-399-29629,5320
473,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,M094403AU1-400-29629,5320
474,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,M094403AU2-398-29629,5241
475,Surfers Paradise,4 The Esplanade,4217,-28.00802913,153.4178795,M094403AU2-399-29629,5320
476,Varsity Lakes,Varsity Parade,4227,-28.0809026,153.4098916,M094421AU1-400-31111,5237
477,Helensvale,Lindfield Road,4212,-27.9203587,153.3296745,M094436AU1-397-31233,29535
478,Helensvale,Lindfield Road,4212,-27.9203587,153.3296745,M094436AU1-399-31233,5467
479,Cabarita,768 Casuarina Way,2488,-33.8435496,151.1166388,M094574AU1-398-30741,1049
480,Burleigh Waters,261-283 Reedy Creek Road,4220,-28.1016671,153.4338849,M094576AU1-400-30767,5237
481,Carrara,Emerald Island Drive,4211,-28.0174457,153.3771027,M094594AU1-400-30809,5237
482,Burleigh Heads,22-28 The Esplanade,4220,-28.0861693,153.4507434,M094648AU1-400-31405,5629
1049Thome,Broadbeach Waters,12 Alaska Avenue,4218,-28.030336,153.403252,1049Thome,1049
